"","month","hour","temp","prec","windV","windD","Humid","vaporP","dewpoint","localP","seelevelP","sunhr","insolation","totalcloud","mid_low_cloud","visibility","Min_cloudheight","groundC","groundtemp"
"69",1,21,2.5,NA,4.8,320,67,4.9,-3,1007,1017.7,NA,NA,0,0,NA,600,4,0
"70",1,22,1.5,NA,3.6,290,69,4.7,-3.5,1007.4,1018.2,NA,NA,NA,NA,NA,NA,NA,-0.1
"71",1,23,1.1,NA,3.5,290,71,4.7,-3.5,1007.3,1018.1,NA,NA,NA,NA,NA,NA,NA,-0.1
"72",1,0,0.6,NA,4.2,320,66,4.2,-5,1007.4,1018.2,NA,NA,1,0,NA,600,NA,-0.3
"73",1,1,-0.2,NA,3.5,290,70,4.2,-5,1007.5,1018.3,NA,NA,NA,NA,NA,NA,NA,-0.3
"74",1,2,-0.9,NA,3,290,69,4,-5.8,1007.6,1018.5,NA,NA,NA,NA,NA,NA,NA,-0.6
"75",1,3,-1.5,NA,3.1,290,65,3.6,-7.2,1007.8,1018.7,NA,NA,0,0,NA,800,4,-0.9
"76",1,4,-2.1,NA,1,270,49,2.6,-11.4,1007.8,1018.7,NA,NA,0,0,NA,1400,NA,-1.3
"77",1,5,-2.1,NA,2.3,320,46,2.4,-12.1,1007.8,1018.7,NA,NA,0,0,NA,1500,NA,-1.7
"78",1,6,-2.8,NA,2.1,290,50,2.5,-11.7,1008,1018.9,NA,NA,0,0,NA,1500,NA,-2
"79",1,7,-3.6,NA,1.7,270,53,2.5,-11.8,1008.6,1019.6,NA,NA,0,0,NA,1400,NA,-2.4
"80",1,8,-3.7,NA,1.7,290,58,2.7,-10.7,1008.9,1019.9,0,0,0,0,NA,1700,NA,-2.5
"81",1,9,-3.3,NA,1.7,270,50,2.4,-12.2,1009.6,1020.6,0.7,0.21,0,0,NA,1700,4,-1.6
"82",1,10,-1.3,NA,1,270,45,2.5,-11.7,1009.9,1020.8,1,0.65,0,0,NA,1400,NA,0.1
"83",1,11,0.4,NA,2.4,290,44,2.8,-10.4,1010.2,1021,1,1.03,0,0,NA,1300,NA,0.7
"84",1,12,2.6,NA,1.6,230,38,2.8,-10.3,1009.2,1019.9,1,1.34,0,0,NA,1200,NA,1.9
"85",1,13,4.2,NA,1.6,230,36,3,-9.5,1008.1,1018.7,1,1.46,0,0,NA,1200,NA,1.9
"86",1,14,5.4,NA,3.2,250,35,3.1,-8.8,1007.4,1018,1,1.38,0,0,NA,1200,NA,3.7
"87",1,15,4.9,NA,3.3,270,35,3,-9.3,1007.5,1018.1,1,1.07,1,1,10,1400,1,2
"88",1,16,4.3,NA,3.6,270,39,3.2,-8.4,1008,1018.6,1,0.68,1,1,10,1500,NA,0.7
"89",1,17,3.2,NA,3.6,290,42,3.2,-8.5,1008.4,1019.1,1,0.32,1,1,10,1800,NA,0.1
"90",1,18,1.6,NA,4.1,290,43,3,-9.6,1008.7,1019.5,0,0,0,0,NA,1800,NA,0
"91",1,19,0.9,NA,2.7,290,42,2.8,-10.5,1008.9,1019.7,NA,NA,NA,NA,NA,NA,NA,-0.1
"92",1,20,0.2,NA,2.2,270,42,2.6,-11.2,1009.1,1019.9,NA,NA,NA,NA,NA,NA,NA,-0.3
"93",1,21,-0.5,NA,2.7,270,43,2.5,-11.5,1009.6,1020.5,NA,NA,0,0,NA,2000,4,-0.4
"94",1,22,-1.2,NA,2.1,270,48,2.7,-10.8,1009.7,1020.6,NA,NA,NA,NA,NA,NA,NA,-0.6
"95",1,23,-1.6,NA,2.1,290,49,2.7,-10.9,1010,1020.9,NA,NA,NA,NA,NA,NA,NA,-0.7
"96",1,0,-2.1,NA,2.4,270,53,2.8,-10.4,1010.2,1021.1,NA,NA,6,3,10,1600,NA,-0.8
"97",1,1,-2.5,NA,1.8,270,57,2.9,-9.8,1010.3,1021.3,NA,NA,NA,NA,NA,NA,NA,-1.3
"98",1,2,-3,NA,0.5,200,58,2.8,-10.1,1010.4,1021.4,NA,NA,NA,NA,NA,NA,NA,-1.5
"99",1,3,-3.1,NA,1.2,270,61,3,-9.5,1011,1022,NA,NA,0,0,NA,1400,4,-1.9
"100",1,4,-3.5,NA,1.4,270,64,3,-9.3,1011.2,1022.2,NA,NA,0,0,NA,1200,NA,-2.3
"101",1,5,-3.6,NA,1.7,270,67,3.1,-8.8,1011.5,1022.5,NA,NA,4,0,NA,1200,NA,-2.2
"102",1,6,-3.7,NA,1.2,270,68,3.2,-8.7,1011.7,1022.7,NA,NA,3,3,10,1200,NA,-2.3
"103",1,7,-3.6,NA,2.4,250,65,3,-9.2,1012.2,1023.2,NA,NA,0,0,NA,1400,NA,-2.7
"104",1,8,-4.2,NA,1,250,62,2.8,-10.4,1012.6,1023.7,0,0,1,1,10,1400,NA,-2.9
